16:26:40 [INFO] control.dwell_handler: DwellHandler reset.
16:26:40 [INFO] control.dwell_handler: DwellHandler reset.
16:26:40 [INFO] control.dwell_handler: DwellHandler reset.
16:26:40 [INFO] control.dwell_handler: DwellHandler reset.
16:26:40 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:41 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:42 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
